image_path,split,review_reasons,polygon_count,class_ids
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR6990_JPG.rf.981d492fda6882d609385a301391b63f.jpg,test,contains_class_0;contains_class_1;contains_class_2;multiple_classes;polygons_touching_image_borders,29,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR6991_JPG.rf.cb59b0e11e00ab6f2eb7dd2054ec6da4.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,36,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7003_JPG.rf.43bdcfeab63e1882f5cb3727ccc02748.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,46,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7027_JPG.rf.1df481618d254f05e42beadf1c757a8a.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;suspicious_polygon,41,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7038_JPG.rf.6d574775ba9dace74383d2e30ac92c2e.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;suspicious_polygon,45,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7047_JPG.rf.22e2c11645eea3412a64c44e96aa402c.jpg,test,contains_class_0;contains_class_1;contains_class_2;largest_number_of_polygons;polygons_touching_image_borders,56,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7065_JPG.rf.65102403959d3c6a78490a220a21eec3.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;suspicious_polygon,30,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7076_JPG.rf.f5d7743a2fcb0d40d380ea72c58111f1.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,38,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7079_JPG.rf.747086eb07c0052b68a7da5227fa8cd8.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,45,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7103_JPG.rf.8f18c01a3d31f4816845143a7b6e7b0f.jpg,test,contains_class_0;contains_class_1;contains_class_2;largest_number_of_polygons;polygons_touching_image_borders,68,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7105_JPG.rf.4ec0bd3fd3b02bee57050f8055aa2350.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;random_test,27,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7106_JPG.rf.ef541873670cce948b81f5ecfabfbbab.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,35,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7107_JPG.rf.837dede8b85fa42c64c46407b379a4b3.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,47,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7110_JPG.rf.5bff09629f25632f2953b2f2d781ee55.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,39,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7111_JPG.rf.f81e1a53315c53cfa2b7a4d7a3142ef9.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,48,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7121_JPG.rf.157fcd071b2b71551742b672c6823bb1.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;random_test,35,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7131_JPG.rf.48326f9d972c6805fdc664d6c50fa7c7.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,48,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7150_JPG.rf.3c40207fb2543352203e9d6b69569757.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;random_test;suspicious_polygon,37,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7157_JPG.rf.1a41e514f4aacd2281fe747d2dc500d3.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,23,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7171_JPG.rf.9878e5685b1c664556548d33e67702a2.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,28,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7198_JPG.rf.f5b041032a4df1375ece55a5bda5f2a6.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders,32,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7199_JPG.rf.b5a017ca32af35ebf45902454d357c8a.jpg,test,contains_class_0;contains_class_1;contains_class_2;polygons_touching_image_borders;random_test,34,"0,1,2"
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7201_JPG.rf.7810cd85a8ef07c67614929cd76ba8eb.jpg,test,contains_class_0;contains_class_1;contains_class_2;multiple_classes;polygons_touching_image_borders;suspicious_polygon,40,"0,1,2"
